timestamp,occupancy,ambient_light
2025-04-08 19:51:28,1,0
2025-04-08 19:51:30,1,0
2025-04-08 19:51:32,1,0
2025-04-08 19:51:34,1,0
2025-04-08 19:51:36,1,0
2025-04-08 19:51:38,1,0
2025-04-08 19:51:40,1,0
2025-04-08 19:51:42,1,0
2025-04-08 19:51:44,1,0
2025-04-08 19:51:46,0,0
2025-04-08 19:51:48,0,0
2025-04-08 19:51:50,1,0
2025-04-08 19:51:52,1,0
2025-04-08 19:51:54,1,0
2025-04-08 19:51:56,1,0
2025-04-08 19:51:58,1,0
2025-04-08 19:52:00,1,0
2025-04-08 19:52:02,1,0
2025-04-08 19:52:04,1,0
2025-04-08 19:52:06,0,0
2025-04-08 19:52:08,0,0
2025-04-08 19:52:10,1,0
2025-04-08 19:52:12,0,0
2025-04-08 19:52:14,0,0
2025-04-08 19:52:16,0,0
2025-04-08 19:52:18,0,0
2025-04-08 19:52:20,1,0
2025-04-08 19:52:22,1,0
2025-04-08 19:52:24,0,0
2025-04-08 19:52:26,0,0
2025-04-08 19:52:28,0,0
2025-04-08 19:52:30,0,0
2025-04-08 19:52:32,0,0
2025-04-08 19:52:34,0,0
2025-04-08 19:52:36,1,0
2025-04-08 19:52:38,1,0
2025-04-08 19:52:40,0,0
2025-04-08 19:52:42,0,0
2025-04-08 19:52:44,0,0
2025-04-08 19:52:46,0,0
2025-04-08 19:52:48,0,0
2025-04-08 19:52:50,0,0
2025-04-08 19:52:52,0,0
2025-04-08 19:52:54,1,0
2025-04-08 19:52:56,1,0
2025-04-08 19:52:58,1,0
2025-04-08 19:53:00,1,0
2025-04-08 19:53:02,1,0
2025-04-08 19:53:04,0,0
2025-04-08 19:53:06,0,0
2025-04-08 19:53:08,1,0
2025-04-08 19:53:10,1,0
2025-04-08 19:53:12,0,0
2025-04-08 19:53:14,1,0
2025-04-08 19:53:16,1,0
2025-04-08 19:53:18,1,0
2025-04-08 19:53:20,1,0
2025-04-08 19:53:22,1,0
2025-04-08 19:53:24,1,0
2025-04-08 19:53:26,1,0
2025-04-08 19:53:28,1,0
2025-04-08 19:53:30,1,0
2025-04-08 19:53:32,1,0
2025-04-08 19:53:34,1,0
2025-04-08 19:53:36,1,0
2025-04-08 19:53:38,0,0
2025-04-08 19:53:40,0,0
2025-04-08 19:53:42,0,0
2025-04-08 19:53:44,1,0
2025-04-08 19:53:46,1,0
2025-04-08 19:53:48,0,0
2025-04-08 19:53:50,0,0
2025-04-08 19:53:52,1,0
2025-04-08 19:53:54,1,0
2025-04-08 19:53:56,0,0
2025-04-08 19:53:58,0,0
2025-04-08 19:54:00,0,0
2025-04-08 19:54:02,0,0
2025-04-08 19:54:04,0,0
2025-04-08 19:54:06,0,0
2025-04-08 19:54:08,0,0
2025-04-08 19:54:10,1,0
2025-04-08 19:54:12,1,0
2025-04-08 19:54:14,1,0
2025-04-08 19:54:16,1,0
2025-04-08 19:54:18,0,0
2025-04-08 19:54:20,0,0
2025-04-08 19:54:22,0,0
2025-04-08 19:54:24,0,0
2025-04-08 19:54:26,1,0
2025-04-08 19:54:28,1,0
2025-04-08 19:54:30,1,0
2025-04-08 19:54:32,0,0
2025-04-08 19:54:34,0,0
2025-04-08 19:54:36,0,0
2025-04-08 19:54:38,0,0
2025-04-08 19:54:40,0,0
2025-04-08 19:54:42,0,0
2025-04-08 19:54:44,0,0
2025-04-08 19:54:46,0,0
2025-04-08 19:54:48,0,0
2025-04-08 19:54:50,1,0
2025-04-08 19:54:52,1,0
2025-04-08 19:54:54,0,0
2025-04-08 19:54:56,0,0
2025-04-08 19:54:58,0,0
2025-04-08 19:55:00,1,0
2025-04-08 19:55:02,1,0
2025-04-08 19:55:04,0,0
2025-04-08 19:55:06,0,0
2025-04-08 19:55:08,0,0
2025-04-08 19:55:10,0,0
2025-04-08 19:55:12,1,0
2025-04-08 19:55:14,1,0
2025-04-08 19:55:16,0,0
2025-04-08 19:55:18,0,0
2025-04-08 19:55:20,0,0
2025-04-08 19:55:22,0,0
2025-04-08 19:55:24,1,0
2025-04-08 19:55:26,1,0
2025-04-08 19:55:28,1,0
2025-04-08 19:55:30,1,0
2025-04-08 19:55:32,0,0
2025-04-08 19:55:34,0,0
2025-04-08 19:55:36,0,0
2025-04-08 19:55:38,0,0
2025-04-08 19:55:40,0,0
2025-04-08 19:55:42,1,0
2025-04-08 19:55:44,1,0
2025-04-08 19:55:46,1,0
2025-04-08 19:55:48,1,0
2025-04-08 19:55:50,0,0
2025-04-08 19:55:52,0,0
2025-04-08 19:55:54,1,0
2025-04-08 19:55:56,1,0
2025-04-08 19:55:58,1,0
2025-04-08 19:56:00,0,0
2025-04-08 19:56:02,1,0
2025-04-08 19:56:04,1,0
2025-04-08 19:56:06,1,0
2025-04-08 19:56:08,0,0
