timestamp,occupancy,ambient_light
2025-04-08 20:20:55,1,4
2025-04-08 20:20:57,1,4
2025-04-08 20:20:59,1,4
2025-04-08 20:21:01,1,4
2025-04-08 20:21:03,1,4
2025-04-08 20:21:05,1,4
2025-04-08 20:21:07,1,4097
2025-04-08 20:21:09,1,1216
2025-04-08 20:21:11,1,4
2025-04-08 20:21:13,1,4
2025-04-08 20:21:15,1,4
2025-04-08 20:21:17,1,4
2025-04-08 20:21:19,1,4
2025-04-08 20:21:21,1,4
2025-04-08 20:21:23,1,4
2025-04-08 20:21:25,1,4
2025-04-08 20:21:27,1,4
2025-04-08 20:21:29,0,4
2025-04-08 20:21:31,0,4
2025-04-08 20:21:33,1,4
2025-04-08 20:21:35,1,4
2025-04-08 20:21:37,0,4
2025-04-08 20:21:39,1,4
2025-04-08 20:21:41,1,4
2025-04-08 20:21:43,0,4
2025-04-08 20:21:45,0,4
2025-04-08 20:21:47,0,4
2025-04-08 20:21:49,1,4
2025-04-08 20:21:51,1,4
2025-04-08 20:21:53,1,4
2025-04-08 20:21:55,1,4
2025-04-08 20:21:57,1,4
2025-04-08 20:21:59,1,4
2025-04-08 20:22:01,1,4
2025-04-08 20:22:03,1,4
2025-04-08 20:22:05,1,4
2025-04-08 20:22:07,1,4
2025-04-08 20:22:09,1,4
2025-04-08 20:22:11,1,4
2025-04-08 20:22:13,0,4
2025-04-08 20:22:15,0,4
2025-04-08 20:22:17,1,4
2025-04-08 20:22:19,1,4
2025-04-08 20:22:21,1,4
2025-04-08 20:22:23,1,4
2025-04-08 20:22:25,1,4
2025-04-08 20:22:27,0,4
2025-04-08 20:22:29,0,4
2025-04-08 20:22:31,0,4
2025-04-08 20:22:33,1,4
2025-04-08 20:22:35,1,4
2025-04-08 20:22:37,0,4
2025-04-08 20:22:39,0,4
2025-04-08 20:22:42,1,4
2025-04-08 20:22:44,1,4
2025-04-08 20:22:46,1,4
2025-04-08 20:22:48,0,4
2025-04-08 20:22:50,0,4
2025-04-08 20:22:52,1,4
2025-04-08 20:22:54,1,4
2025-04-08 20:22:56,1,4
2025-04-08 20:22:58,0,4
2025-04-08 20:23:00,0,4
2025-04-08 20:23:02,1,4
2025-04-08 20:23:04,1,4
2025-04-08 20:23:06,1,4
