timestamp,occupancy,ambient_light
2025-04-08 19:29:14,0,23
2025-04-08 19:29:15,0,23
2025-04-08 19:29:17,0,23
2025-04-08 19:29:19,0,23
2025-04-08 19:29:21,0,23
2025-04-08 19:29:23,1,22
2025-04-08 19:29:25,1,22
2025-04-08 19:29:27,1,22
2025-04-08 19:29:29,1,22
2025-04-08 19:29:31,0,22
2025-04-08 19:29:33,0,22
2025-04-08 19:29:35,0,22
2025-04-08 19:29:37,0,22
2025-04-08 19:29:39,0,22
2025-04-08 19:29:41,1,22
2025-04-08 19:29:43,1,22
2025-04-08 19:29:45,0,22
2025-04-08 19:29:47,1,22
2025-04-08 19:29:49,1,21
2025-04-08 19:29:51,1,21
2025-04-08 19:29:53,1,22
2025-04-08 19:29:55,1,22
2025-04-08 19:29:57,1,22
2025-04-08 19:29:59,1,23
2025-04-08 19:30:01,1,23
2025-04-08 19:30:03,1,23
2025-04-08 19:30:05,1,23
2025-04-08 19:30:07,1,23
2025-04-08 19:30:09,1,23
2025-04-08 19:30:11,1,187
2025-04-08 19:30:13,1,22
2025-04-08 19:30:15,1,22
2025-04-08 19:30:17,1,22
2025-04-08 19:30:19,1,22
2025-04-08 19:30:21,1,59
2025-04-08 19:30:23,0,20
2025-04-08 19:30:25,0,23
2025-04-08 19:30:27,1,22
2025-04-08 19:30:29,1,22
2025-04-08 19:30:31,1,22
2025-04-08 19:30:33,1,22
2025-04-08 19:30:35,0,22
2025-04-08 19:30:37,0,22
2025-04-08 19:30:39,1,22
2025-04-08 19:30:41,1,22
2025-04-08 19:30:43,1,22
2025-04-08 19:30:45,1,22
2025-04-08 19:30:47,0,22
2025-04-08 19:30:49,0,22
2025-04-08 19:30:51,1,22
2025-04-08 19:30:53,1,22
2025-04-08 19:30:55,1,22
2025-04-08 19:30:57,1,22
2025-04-08 19:30:59,0,22
2025-04-08 19:31:01,0,22
2025-04-08 19:31:03,1,22
2025-04-08 19:31:05,1,20
2025-04-08 19:31:07,1,20
2025-04-08 19:31:09,1,20
2025-04-08 19:31:11,0,20
2025-04-08 19:31:13,0,20
2025-04-08 19:31:15,1,20
2025-04-08 19:31:17,1,20
2025-04-08 19:31:19,0,20
2025-04-08 19:31:21,0,20
2025-04-08 19:31:23,1,20
2025-04-08 19:31:25,1,20
2025-04-08 19:31:27,1,20
2025-04-08 19:31:29,0,20
2025-04-08 19:31:31,1,20
2025-04-08 19:31:33,1,20
2025-04-08 19:31:35,0,20
2025-04-08 19:31:37,0,20
2025-04-08 19:31:39,1,20
2025-04-08 19:31:41,1,20
2025-04-08 19:31:43,1,20
2025-04-08 19:31:45,1,20
2025-04-08 19:31:48,1,20
2025-04-08 19:31:50,1,20
2025-04-08 19:31:52,1,4
2025-04-08 19:31:54,1,20
2025-04-08 19:31:56,0,20
2025-04-08 19:31:58,0,20
2025-04-08 19:32:00,1,20
2025-04-08 19:32:02,1,20
2025-04-08 19:32:04,0,20
2025-04-08 19:32:06,0,20
2025-04-08 19:32:08,0,20
2025-04-08 19:32:10,1,20
2025-04-08 19:32:12,1,20
2025-04-08 19:32:14,0,20
2025-04-08 19:32:16,0,20
2025-04-08 19:32:18,0,20
2025-04-08 19:32:20,0,20
2025-04-08 19:32:22,1,20
2025-04-08 19:32:24,1,20
2025-04-08 19:32:26,1,20
2025-04-08 19:32:28,1,20
2025-04-08 19:32:30,1,20
2025-04-08 19:32:32,1,20
2025-04-08 19:32:34,1,20
2025-04-08 19:32:36,1,20
2025-04-08 19:32:38,1,20
2025-04-08 19:32:40,1,34
2025-04-08 19:32:42,1,21
2025-04-08 19:32:44,0,20
2025-04-08 19:32:46,0,20
2025-04-08 19:32:48,1,20
2025-04-08 19:32:50,1,20
2025-04-08 19:32:52,1,20
2025-04-08 19:32:54,1,22
2025-04-08 19:32:56,1,20
2025-04-08 19:32:58,1,20
2025-04-08 19:33:00,1,20
2025-04-08 19:33:02,1,22
2025-04-08 19:33:04,1,21
2025-04-08 19:33:06,1,21
2025-04-08 19:33:08,1,21
2025-04-08 19:33:10,0,21
2025-04-08 19:33:12,0,21
2025-04-08 19:33:14,1,20
2025-04-08 19:33:16,1,20
2025-04-08 19:33:18,1,20
2025-04-08 19:33:20,1,21
2025-04-08 19:33:22,1,20
2025-04-08 19:33:24,1,20
2025-04-08 19:33:26,1,20
2025-04-08 19:33:28,1,20
2025-04-08 19:33:30,1,20
2025-04-08 19:33:32,1,20
2025-04-08 19:33:34,1,20
2025-04-08 19:33:36,1,20
2025-04-08 19:33:38,1,20
2025-04-08 19:33:40,1,20
2025-04-08 19:33:42,1,20
2025-04-08 19:33:44,1,20
2025-04-08 19:33:46,1,20
2025-04-08 19:33:48,1,20
2025-04-08 19:33:50,1,20
2025-04-08 19:33:52,1,20
2025-04-08 19:33:54,1,20
2025-04-08 19:33:56,1,20
2025-04-08 19:33:58,1,20
2025-04-08 19:34:00,1,20
2025-04-08 19:34:02,1,20
2025-04-08 19:34:04,1,20
2025-04-08 19:34:06,1,19
2025-04-08 19:34:08,1,20
2025-04-08 19:34:10,1,19
2025-04-08 19:34:12,1,19
2025-04-08 19:34:14,1,19
2025-04-08 19:34:16,1,19
2025-04-08 19:34:18,0,19
2025-04-08 19:34:20,0,19
2025-04-08 19:34:22,1,19
2025-04-08 19:34:24,1,19
2025-04-08 19:34:26,0,19
2025-04-08 19:34:28,0,19
2025-04-08 19:34:30,1,19
2025-04-08 19:34:32,1,19
2025-04-08 19:34:34,0,19
2025-04-08 19:34:36,0,19
2025-04-08 19:34:38,1,19
2025-04-08 19:34:40,1,19
2025-04-08 19:34:42,1,19
2025-04-08 19:34:44,0,19
2025-04-08 19:34:46,0,19
2025-04-08 19:34:48,1,19
2025-04-08 19:34:50,1,19
2025-04-08 19:34:52,1,19
2025-04-08 19:34:54,1,19
2025-04-08 19:34:56,1,19
2025-04-08 19:34:58,1,19
2025-04-08 19:35:00,1,19
2025-04-08 19:35:02,1,19
2025-04-08 19:35:04,1,19
2025-04-08 19:35:06,1,19
2025-04-08 19:35:08,1,19
2025-04-08 19:35:10,1,19
2025-04-08 19:35:12,1,19
2025-04-08 19:35:14,1,19
2025-04-08 19:35:16,1,19
2025-04-08 19:35:18,1,19
2025-04-08 19:35:20,1,19
2025-04-08 19:35:22,0,19
2025-04-08 19:35:24,0,19
2025-04-08 19:35:26,0,19
2025-04-08 19:35:28,0,19
2025-04-08 19:35:30,0,19
2025-04-08 19:35:32,1,19
2025-04-08 19:35:34,1,18
2025-04-08 19:35:36,1,18
2025-04-08 19:35:38,1,18
2025-04-08 19:35:40,0,18
2025-04-08 19:35:42,1,18
2025-04-08 19:35:44,1,18
2025-04-08 19:35:46,1,18
2025-04-08 19:35:48,1,18
2025-04-08 19:35:50,1,19
2025-04-08 19:35:52,1,18
2025-04-08 19:35:54,1,18
2025-04-08 19:35:56,1,20
2025-04-08 19:35:58,1,19
2025-04-08 19:36:00,1,19
2025-04-08 19:36:02,1,19
2025-04-08 19:36:04,1,19
2025-04-08 19:36:06,1,19
2025-04-08 19:36:08,1,19
2025-04-08 19:36:10,1,19
2025-04-08 19:36:12,0,19
2025-04-08 19:36:14,0,19
2025-04-08 19:36:16,1,19
2025-04-08 19:36:18,1,18
