timestamp,occupancy,ambient_light
2025-04-08 20:09:49,1,24
2025-04-08 20:09:50,1,25
2025-04-08 20:09:52,0,26
2025-04-08 20:09:54,1,26
2025-04-08 20:09:56,1,26
2025-04-08 20:09:58,1,26
2025-04-08 20:10:00,1,26
2025-04-08 20:10:02,1,26
2025-04-08 20:10:04,1,26
2025-04-08 20:10:06,1,25
2025-04-08 20:10:08,1,26
2025-04-08 20:10:10,1,23
2025-04-08 20:10:12,1,4097
2025-04-08 20:10:14,1,26
2025-04-08 20:10:16,0,26
2025-04-08 20:10:18,1,6
2025-04-08 20:10:20,1,22
2025-04-08 20:10:22,0,27
2025-04-08 20:10:24,0,27
2025-04-08 20:10:26,1,27
2025-04-08 20:10:28,0,26
2025-04-08 20:10:30,0,27
2025-04-08 20:10:32,1,26
2025-04-08 20:10:34,1,27
2025-04-08 20:10:36,1,27
2025-04-08 20:10:38,1,27
2025-04-08 20:10:40,1,26
2025-04-08 20:10:42,1,26
2025-04-08 20:10:44,1,26
2025-04-08 20:10:46,0,26
2025-04-08 20:10:48,0,26
2025-04-08 20:10:50,1,26
2025-04-08 20:10:52,1,27
2025-04-08 20:10:54,1,27
2025-04-08 20:10:56,0,27
2025-04-08 20:10:58,0,27
2025-04-08 20:11:00,0,27
2025-04-08 20:11:02,1,27
2025-04-08 20:11:04,1,27
2025-04-08 20:11:06,1,27
2025-04-08 20:11:08,0,27
2025-04-08 20:11:10,0,27
2025-04-08 20:11:12,0,27
2025-04-08 20:11:14,0,27
2025-04-08 20:11:16,0,27
2025-04-08 20:11:18,0,27
2025-04-08 20:11:20,0,27
2025-04-08 20:11:22,1,27
2025-04-08 20:11:24,1,27
2025-04-08 20:11:26,1,27
2025-04-08 20:11:28,1,26
2025-04-08 20:11:30,1,27
2025-04-08 20:11:32,1,26
2025-04-08 20:11:34,0,27
2025-04-08 20:11:36,0,26
2025-04-08 20:11:38,1,26
2025-04-08 20:11:40,1,26
2025-04-08 20:11:42,0,26
2025-04-08 20:11:44,0,26
2025-04-08 20:11:46,0,26
2025-04-08 20:11:48,0,26
2025-04-08 20:11:50,0,26
2025-04-08 20:11:52,1,26
2025-04-08 20:11:54,1,26
2025-04-08 20:11:56,0,26
2025-04-08 20:11:58,0,26
2025-04-08 20:12:00,0,26
2025-04-08 20:12:02,1,26
2025-04-08 20:12:04,1,26
2025-04-08 20:12:06,1,26
2025-04-08 20:12:08,1,26
2025-04-08 20:12:10,1,26
2025-04-08 20:12:12,0,26
2025-04-08 20:12:14,0,26
2025-04-08 20:12:16,1,26
2025-04-08 20:12:18,1,26
2025-04-08 20:12:20,1,26
2025-04-08 20:12:22,1,26
2025-04-08 20:12:24,1,26
2025-04-08 20:12:26,1,26
2025-04-08 20:12:28,0,26
2025-04-08 20:12:30,0,26
2025-04-08 20:12:32,1,26
2025-04-08 20:12:34,1,26
2025-04-08 20:12:36,1,26
2025-04-08 20:12:38,1,26
2025-04-08 20:12:40,1,26
2025-04-08 20:12:42,1,26
2025-04-08 20:12:44,0,26
2025-04-08 20:12:46,0,26
2025-04-08 20:12:48,1,26
2025-04-08 20:12:50,1,26
2025-04-08 20:12:52,1,26
2025-04-08 20:12:54,0,26
2025-04-08 20:12:56,0,26
2025-04-08 20:12:58,1,26
2025-04-08 20:13:00,1,26
2025-04-08 20:13:02,0,26
2025-04-08 20:13:04,0,26
2025-04-08 20:13:06,0,26
2025-04-08 20:13:08,1,26
2025-04-08 20:13:10,1,26
2025-04-08 20:13:12,0,26
2025-04-08 20:13:14,0,26
2025-04-08 20:13:16,0,26
2025-04-08 20:13:18,0,26
2025-04-08 20:13:20,0,26
2025-04-08 20:13:22,0,26
2025-04-08 20:13:24,0,26
2025-04-08 20:13:26,0,26
2025-04-08 20:13:28,1,26
2025-04-08 20:13:30,1,26
2025-04-08 20:13:32,0,26
2025-04-08 20:13:34,0,26
2025-04-08 20:13:36,1,26
2025-04-08 20:13:38,1,26
2025-04-08 20:13:40,1,26
2025-04-08 20:13:42,1,26
2025-04-08 20:13:44,1,26
2025-04-08 20:13:46,1,26
2025-04-08 20:13:48,1,26
2025-04-08 20:13:50,1,26
2025-04-08 20:13:52,0,26
2025-04-08 20:13:54,0,26
2025-04-08 20:13:56,1,26
2025-04-08 20:13:58,1,26
2025-04-08 20:14:00,1,26
2025-04-08 20:14:02,1,26
2025-04-08 20:14:04,0,26
2025-04-08 20:14:06,1,26
2025-04-08 20:14:08,1,26
2025-04-08 20:14:11,1,26
2025-04-08 20:14:13,1,26
2025-04-08 20:14:15,1,26
2025-04-08 20:14:17,1,26
2025-04-08 20:14:19,1,26
2025-04-08 20:14:21,1,26
2025-04-08 20:14:23,1,26
2025-04-08 20:14:25,1,26
2025-04-08 20:14:27,1,26
2025-04-08 20:14:29,1,26
2025-04-08 20:14:31,1,26
2025-04-08 20:14:33,1,26
2025-04-08 20:14:35,0,26
2025-04-08 20:14:37,0,26
2025-04-08 20:14:39,0,26
2025-04-08 20:14:41,1,26
2025-04-08 20:14:43,1,26
2025-04-08 20:14:45,1,26
2025-04-08 20:14:47,1,26
2025-04-08 20:14:49,0,26
2025-04-08 20:14:51,0,26
2025-04-08 20:14:53,1,26
2025-04-08 20:14:55,1,26
2025-04-08 20:14:57,0,26
2025-04-08 20:14:59,0,26
2025-04-08 20:15:01,0,26
2025-04-08 20:15:03,1,26
2025-04-08 20:15:05,1,26
2025-04-08 20:15:07,0,26
2025-04-08 20:15:09,0,26
2025-04-08 20:15:11,1,26
2025-04-08 20:15:13,1,26
2025-04-08 20:15:15,1,26
2025-04-08 20:15:17,1,26
2025-04-08 20:15:19,1,26
2025-04-08 20:15:21,1,26
2025-04-08 20:15:23,0,26
2025-04-08 20:15:25,0,26
2025-04-08 20:15:27,1,26
2025-04-08 20:15:29,1,26
2025-04-08 20:15:31,0,26
2025-04-08 20:15:33,1,26
2025-04-08 20:15:35,1,26
2025-04-08 20:15:37,1,26
2025-04-08 20:15:39,1,26
2025-04-08 20:15:41,1,26
2025-04-08 20:15:43,1,26
2025-04-08 20:15:45,1,26
2025-04-08 20:15:47,1,26
2025-04-08 20:15:49,1,26
2025-04-08 20:15:51,1,25
2025-04-08 20:15:53,1,25
2025-04-08 20:15:55,1,25
2025-04-08 20:15:57,1,25
2025-04-08 20:15:59,1,25
2025-04-08 20:16:01,0,25
2025-04-08 20:16:03,1,25
2025-04-08 20:16:05,1,25
2025-04-08 20:16:07,0,25
2025-04-08 20:16:09,0,25
2025-04-08 20:16:11,0,25
2025-04-08 20:16:13,1,25
2025-04-08 20:16:15,1,25
2025-04-08 20:16:17,1,25
2025-04-08 20:16:19,1,25
2025-04-08 20:16:21,1,25
2025-04-08 20:16:23,1,25
2025-04-08 20:16:25,0,25
2025-04-08 20:16:27,0,25
2025-04-08 20:16:29,0,25
2025-04-08 20:16:31,1,25
2025-04-08 20:16:33,1,25
2025-04-08 20:16:35,1,25
